sample	genome	coverage	relative abundance	iRep	un-filtered iRep	raw iRep (no GC bias correction)	r^2	% windows	GC bias	GC r^2	day	treatment	bird	day_num
d35sub101	bin.1044	13.003700607040901	1.3862233290179982	1.7441386719332401	1.7441386719332401	1.9278248249661816	0.9157396071215591	99.53	-7.8973113143067675	0.18932322574909577	35	sub	101	35
d35ctrl098	bin.1044	10.214870592741155	2.1528777201391947	1.9793890540849353	1.9793890540849353	2.1100790788576678	0.9672215265259917	99.78	-2.5099530081703096	0.0977592081106232	35	ctrl	098	35
d35sub105	bin.1044	5.3181034517151415	0.5664079610039585	2.2164390945557546	2.2164390945557546	2.2806284849762384	0.9785246289385435	99.6	-0.001965365740177237	0.001253949367217233	35	sub	105	35
d07ctrl035	bin.1044	7.348884090011437	2.7227507486557028	2.116434606445037	2.116434606445037	2.1749457783820882	0.9709141919751062	99.6	0.21199736611635586	0.023594456454518856	07	ctrl	035	7
d35sub107	bin.1044	5.077936733469092	0.4283760875953685	2.0415648479883943	2.0415648479883943	2.312882394684326	0.9494040795377191	99.58	-5.484222207531065	0.23914491838787344	35	sub	107	35
d35ctrl099	bin.1044	12.993760319438818	2.668814401604915	1.8127156283593806	1.8127156283593806	1.890105224898133	0.9690034250450085	98.63	-1.1057226501306763	0.052954156406573194	35	ctrl	099	35
d07ctrl033	bin.1044	8.987079506912492	1.3054200625206818	2.4075920238426756	2.4075920238426756	2.4844253670609846	0.9187963079210029	99.46000000000001	0.0056601579784690105	0.0016276706125399887	07	ctrl	033	7
d35ctrl091	bin.1044	8.721840648771753	1.384280705094707	1.6855036608845284	1.6855036608845284	1.7357281325963878	0.9551279519129382	98.25	-0.3269190270123371	0.03219917455554578	35	ctrl	091	35
d35sub108	bin.1044	37.57623233406116	3.1205881086615737	1.830423996739446	1.830423996739446	1.9303327376701462	0.9719684491054543	98.31	-6.162655068757056	0.08061553036476674	35	sub	108	35
d35ctrl100	bin.1044	36.067108482557344	6.157338689172788	1.797713997571932	1.797713997571932	1.897580899340371	0.9634228539995288	98.66	-4.305169064479998	0.0658872040249455	35	ctrl	100	35
d35sub104	bin.1044	16.387334953096957	3.244011742594205	1.864056448507158	1.864056448507158	1.9241767319049234	0.9619450699449562	98.85	-0.5806343861201607	0.02887803101349862	35	sub	104	35
d07ctrl040	bin.1044	24.899136373040335	3.240132022925663	1.9333725330510414	1.9333725330510414	1.9813360845764874	0.9747035684032541	98.25	-0.4874034948928614	0.01913035831445565	07	ctrl	040	7
d07ctrl032	bin.1044	20.05705876687088	2.752804785485622	2.1189081730591877	2.1189081730591877	2.1701759749051734	0.9799306642336263	99.61	-0.0027146089938529156	6.80426124679223e-4	07	ctrl	032	7
